CASE #,DATE  OF OCCURRENCE, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,ARREST_N
HX333094,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,BARBERSHOP,N,N,414,Y
HX333057,7/6/2014,NARCOTICS,POSS: CRACK,ALLEY,Y,N,1122,N
HX333013,7/6/2014,HOMICIDE,FIRST DEGREE MURDER,AUTO,N,N,1913,Y
HX333047,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,225,Y
HX333078,7/6/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,SIDEWALK,Y,N,1614,N
HX334704,7/6/2014,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),N,N,613,Y
HX333068,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,GROCERY FOOD STORE,N,N,1631,Y
HX333075,7/6/2014,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,1122,Y
HX333061,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,Y,Y,331,N
HX333076,7/6/2014,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),N,N,1011,Y
HX333067,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1833,Y
HX339083,7/6/2014,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,2423,Y
HX333521,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1022,Y
HX333719,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,2012,Y
HX333101,7/6/2014,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,STREET,N,N,321,Y
HX333125,7/6/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,BAR OR TAVERN,N,N,1924,Y
HX333317,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,331,Y
HX333469,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,811,Y
HX333080,7/6/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,ALLEY,Y,N,2011,N
HX333085,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,932,Y
HX333090,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1133,Y
HX333079,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,431,Y
HX333106,7/6/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,N,N,1024,Y
HX333083,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1122,Y
HX333091,7/6/2014,ASSAULT,SIMPLE,RESTAURANT,N,N,1434,Y
HX333086,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1924,Y
HX333142,7/6/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,432,N
HX333541,7/6/2014,THEFT,OVER $500,RESIDENCE,N,N,1924,Y
HX333162,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,N,1423,Y
HX333285,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1531,Y
HX333110,7/6/2014,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,APARTMENT,N,N,613,Y
HX333555,7/6/2014,THEFT,$500 AND UNDER,BAR OR TAVERN,N,N,1924,Y
HX337485,7/6/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,1934,Y
HX337480,7/6/2014,THEFT,OVER $500,RESIDENCE,N,N,1934,Y
HX333154,7/6/2014,ASSAULT,SIMPLE,SIDEWALK,Y,N,111,N
HX334106,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1631,Y
HX333184,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,1022,N
HX333104,7/6/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,323,Y
HX333093,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,1423,N
HX333114,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,HOTEL/MOTEL,N,Y,122,Y
HX333109,7/6/2014,BATTERY,SIMPLE,BAR OR TAVERN,N,N,1915,Y
HX333103,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1523,Y
HX333279,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,223,Y
HX333111,7/6/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,SIDEWALK,N,Y,724,Y
HX333102,7/6/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,1832,N
HX333107,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,1125,N
HX333409,7/6/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,931,Y
HX333113,7/6/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,1622,Y
HX333122,7/6/2014,THEFT,$500 AND UNDER,APARTMENT,N,Y,1422,Y
HX498459,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1424,Y
HX334018,7/6/2014,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,N,N,1111,Y
HX333410,7/6/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,2533,Y
HX333528,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,935,Y
HX333115,7/6/2014,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,APARTMENT,N,Y,1011,Y
HX333121,7/6/2014,ASSAULT,SIMPLE,RESIDENCE,N,N,523,Y
HX333127,7/6/2014,BATTERY,SIMPLE,STREET,N,N,1631,Y
HX333136,7/6/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,1121,Y
HX333130,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,Y,N,511,N
HX333183,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1512,Y
HX333126,7/6/2014,BATTERY,SIMPLE,STREET,N,N,1831,Y
HX373595,7/6/2014,BATTERY,SIMPLE,SIDEWALK,N,N,533,Y
HX333124,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,414,N
HX333120,7/6/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1925,Y
HX333123,7/6/2014,ARSON,BY FIRE,APARTMENT,N,N,724,Y
HX333374,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,N,N,533,Y
HX333503,7/6/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,733,Y
HX333331,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2431,Y
HX354155,7/6/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,STREET,N,N,1831,Y
HX333267,7/6/2014,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),N,N,1232,Y
HX333380,7/6/2014,THEFT,POCKET-PICKING,BAR OR TAVERN,N,N,1925,Y
HX333151,7/6/2014,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,BAR OR TAVERN,Y,N,1823,N
HX335268,7/6/2014,THEFT,OVER $500,STREET,N,N,1623,Y
HX333128,7/6/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1924,Y
HX333637,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,1223,Y
HX333883,7/6/2014,ASSAULT,AGGRAVATED: HANDGUN,STREET,N,N,533,Y
HX333245,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,921,Y
HX333129,7/6/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,1924,Y
HX333140,7/6/2014,BATTERY,AGGRAVATED: HANDGUN,PARK PROPERTY,N,N,1925,Y
HX333131,7/6/2014,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,Y,N,1831,N
HX333155,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1631,Y
HX333144,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,RESIDENCE PORCH/HALLWAY,N,N,1924,Y
HX333543,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,BARBERSHOP,N,N,333,Y
HX333138,7/6/2014,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,N,N,2521,Y
HX333160,7/6/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,932,Y
HX333180,7/6/2014,THEFT,OVER $500,SIDEWALK,Y,N,1924,N
HX334773,7/6/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,N,Y,931,Y
HX333189,7/6/2014,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,APARTMENT,N,N,611,Y
HX333153,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,STREET,N,N,1924,Y
HX333152,7/6/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,Y,Y,823,N
HX333198,7/6/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,POLICE FACILITY/VEH PARKING LOT,Y,N,531,N
HX333207,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1212,Y
HX333173,7/6/2014,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,N,N,334,Y
HX333195,7/6/2014,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),N,N,424,Y
HX333164,7/6/2014,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,835,Y
HX334203,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,SPORTS ARENA/STADIUM,N,Y,935,Y
HX342401,7/6/2014,THEFT,OVER $500,RESIDENCE,N,N,1232,Y
HX333581,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,622,Y
HX333238,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,N,N,621,Y
HX333170,7/6/2014,ROBBERY,ARMED: HANDGUN,SIDEWALK,N,N,1434,Y
HX333168,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,N,N,113,Y
HX333206,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1233,Y
HX333174,7/6/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1924,Y
HX333166,7/6/2014,BATTERY,SIMPLE,STREET,N,N,411,Y
HX333181,7/6/2014,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,SIDEWALK,Y,N,2533,N
HX333600,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,724,Y
HX345308,7/6/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,N,N,434,Y
HX333185,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,N,1011,Y
HX333254,7/6/2014,THEFT,$500 AND UNDER,WAREHOUSE,N,N,1223,Y
HX333175,7/6/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1012,Y
HX334797,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,224,Y
HX333232,7/6/2014,CRIM SEXUAL ASSAULT,PREDATORY,APARTMENT,Y,N,2522,N
HX333227,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,921,Y
HX333187,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,931,Y
HX333525,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,N,622,Y
HX333179,7/6/2014,CRIMINAL TRESPASS,TO VEHICLE,STREET,Y,N,1031,N
HX333182,7/6/2014,BATTERY,AGGRAVATED: HANDGUN,STREET,N,N,921,Y
HX333196,7/6/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1034,Y
HX333193,7/6/2014,BATTERY,SIMPLE,STREET,N,N,1012,Y
HX333614,7/6/2014,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,RESIDENCE,N,N,631,Y
HX333204,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,RESIDENTIAL YARD (FRONT/BACK),N,N,921,Y
HX333415,7/6/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1433,Y
HX333201,7/6/2014,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,Y,N,733,N
HX333208,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,N,Y,414,Y
HX333191,7/6/2014,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,N,N,2213,Y
HX333188,7/6/2014,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,N,N,1115,Y
HX333200,7/6/2014,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,RESTAURANT,N,N,212,Y
HX333340,7/6/2014,ASSAULT,SIMPLE,APARTMENT,Y,Y,1513,N
HX333221,7/6/2014,THEFT,OVER $500,STREET,N,N,1232,Y
HX333247,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,723,Y
HX333199,7/6/2014,ROBBERY,ARMED: HANDGUN,STREET,N,N,921,Y
HX333264,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1522,Y
HX333220,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,621,N
HX333209,7/6/2014,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,TAXICAB,N,N,1923,Y
HX333214,7/6/2014,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,ALLEY,Y,N,1611,N
HX333701,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1712,Y
HX333210,7/6/2014,ARSON,AGGRAVATED,RESIDENCE,N,N,313,Y
HX334619,7/6/2014,BURGLARY,FORCIBLE ENTRY,CONVENIENCE STORE,N,N,733,Y
HX333231,7/6/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,1131,Y
HX333224,7/6/2014,ROBBERY,STRONGARM - NO WEAPON,OTHER,N,N,422,Y
HX333229,7/6/2014,BATTERY,SIMPLE,SIDEWALK,Y,N,912,N
HX333484,7/6/2014,THEFT,FROM BUILDING,OTHER,N,N,132,Y
HX343210,7/6/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,522,Y
HX333283,7/6/2014,SEX OFFENSE,PUBLIC INDECENCY,CTA STATION,Y,N,723,N
HX333240,7/6/2014,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,ALLEY,N,N,2535,Y
HX333234,7/6/2014,BATTERY,SIMPLE,RESIDENCE,Y,N,1132,N
HX333243,7/6/2014,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,411,Y
HX333476,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,921,Y
HX333951,7/6/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,933,Y
HX333306,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,1511,Y
HX333278,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,313,Y
HX333943,7/6/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,1121,Y
HX333265,7/6/2014,BURGLARY,FORCIBLE ENTRY,OTHER,N,N,331,Y
HX335514,7/6/2014,THEFT,OVER $500,APARTMENT,N,N,533,Y
HX333242,7/6/2014,THEFT,$500 AND UNDER,RESIDENCE,N,N,321,Y
HX333252,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,N,N,122,Y
HX333262,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,N,Y,2513,Y
HX333253,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,2531,Y
HX333259,7/6/2014,THEFT,$500 AND UNDER,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,N,N,1651,Y
HX333355,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,823,Y
HX333263,7/6/2014,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,N,N,813,Y
HX333293,7/6/2014,BATTERY,AGG PO HANDS NO/MIN INJURY,STREET,N,N,532,Y
HX337446,7/6/2014,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,POLICE FACILITY/VEH PARKING LOT,N,N,321,Y
HX333699,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,1221,Y
HX356760,7/6/2014,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,N,N,322,Y
HX333301,7/6/2014,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,SIDEWALK,N,N,1123,Y
HX333354,7/6/2014,ASSAULT,AGG PO HANDS NO/MIN INJURY,VACANT LOT/LAND,Y,N,1033,N
HX333282,7/6/2014,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,Y,N,313,N
HX333295,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENTIAL YARD (FRONT/BACK),Y,N,1211,N
HX394422,7/6/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,NURSING HOME/RETIREMENT HOME,N,N,512,Y
HX333492,7/6/2014,THEFT,OVER $500,CTA BUS STOP,N,N,934,Y
HX333300,7/6/2014,THEFT,$500 AND UNDER,STREET,N,Y,331,Y
HX334184,7/6/2014,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,833,Y
HX333305,7/6/2014,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,Y,N,133,N
HX333700,7/6/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1132,Y
HX333419,7/6/2014,OTHER OFFENSE,GUN OFFENDER: DUTY TO REPORT CHANGE OF INFORMATION,APARTMENT,Y,N,2531,N
HX335099,7/6/2014,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,N,N,923,Y
HX335204,7/6/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,RESIDENCE,N,Y,1221,Y
HX333743,7/6/2014,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,N,N,932,Y
HX351740,7/6/2014,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,N,N,2422,Y
HX333462,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,933,Y
HX333310,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,1014,N
HX333332,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,1624,Y
HX333320,7/6/2014,ASSAULT,SIMPLE,RESIDENCE,N,Y,1014,Y
HX337667,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,N,1925,Y
HX336921,7/6/2014,THEFT,$500 AND UNDER,OTHER,N,N,2432,Y
HX333334,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,725,Y
HX333315,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,133,N
HX333346,7/6/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,1234,Y
HX333341,7/6/2014,CRIMINAL DAMAGE,TO VEHICLE,STREET,Y,N,1623,N
HX334229,7/6/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,2423,Y
HX333325,7/6/2014,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,N,N,1522,Y
HX333323,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,Y,513,N
HX333353,7/6/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,N,N,633,Y
HX333342,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,N,N,1723,Y
HX333425,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,434,Y
HX333360,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,723,Y
HX333686,7/6/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,Y,1031,Y
HX333765,7/6/2014,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),N,N,914,Y
HX333394,7/6/2014,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,PARKING LOT/GARAGE(NON.RESID.),N,N,211,Y
HX351559,7/6/2014,THEFT,FROM BUILDING,OTHER,N,N,835,Y
HX337901,7/6/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1914,Y
HX408879,7/6/2014,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,N,N,323,Y
HX348910,7/6/2014,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,N,N,1123,Y
HX375343,7/6/2014,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,N,N,1411,Y
HX333371,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,421,N
HX333368,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,232,Y
HX333370,7/6/2014,NARCOTICS,POSS: COCAINE,SIDEWALK,Y,N,1624,N
HX335098,7/6/2014,ASSAULT,SIMPLE,OTHER,N,Y,334,Y
HX333382,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,634,N
HX333816,7/6/2014,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,923,Y
HX333749,7/6/2014,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,431,Y
HX333384,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,923,Y
HX333416,7/6/2014,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,622,N
HX333377,7/6/2014,ASSAULT,SIMPLE,APARTMENT,N,N,334,Y
HX333376,7/6/2014,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,N,Y,312,Y
HX333392,7/6/2014,ASSAULT,SIMPLE,STREET,N,N,1111,Y
HX333387,7/6/2014,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,PARKING LOT/GARAGE(NON.RESID.),Y,N,1032,N
HX333386,7/6/2014,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,N,N,422,Y
HX333407,7/6/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,931,Y
HX333491,7/6/2014,NARCOTICS,MANU/DEL:CANNABIS 10GM OR LESS,VEHICLE NON-COMMERCIAL,Y,N,712,N
HX334230,7/6/2014,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,421,Y
HX333430,7/6/2014,ASSAULT,SIMPLE,RESIDENCE,N,Y,313,Y
HX337963,7/6/2014,THEFT,$500 AND UNDER,APARTMENT,N,N,2413,Y
HX333523,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE PORCH/HALLWAY,Y,Y,1821,N
HX333437,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,N,Y,424,Y
HX333790,7/6/2014,BATTERY,SIMPLE,SIDEWALK,N,N,1212,Y
HX343522,7/6/2014,THEFT,$500 AND UNDER,STREET,N,N,823,Y
HX333424,7/6/2014,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,STREET,Y,N,712,N
HX333439,7/6/2014,THEFT,$500 AND UNDER,SIDEWALK,N,N,924,Y
HX333397,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,722,Y
HX333461,7/6/2014,ASSAULT,AGGRAVATED: HANDGUN,STREET,N,Y,1931,Y
HX333440,7/6/2014,NARCOTICS,POSS: HEROIN(WHITE),STREET,Y,N,1524,N
HX333831,7/6/2014,THEFT,$500 AND UNDER,OTHER,N,N,1834,Y
HX333378,7/6/2014,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,RESIDENCE,N,Y,422,Y
HX333418,7/6/2014,CRIMINAL TRESPASS,TO LAND,RESIDENTIAL YARD (FRONT/BACK),Y,N,2432,N
HX333444,7/6/2014,THEFT,$500 AND UNDER,APARTMENT,N,Y,1533,Y
HX333438,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,1132,Y
HX333446,7/6/2014,ASSAULT,SIMPLE,ALLEY,N,N,1713,Y
HX333421,7/6/2014,NARCOTICS,MANU/DELIVER:CRACK,VEHICLE NON-COMMERCIAL,Y,N,724,N
HX333447,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,N,2413,Y
HX333474,7/6/2014,ASSAULT,SIMPLE,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,N,Y,523,Y
HX334098,7/6/2014,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,1933,Y
HX333479,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,432,Y
HX333463,7/6/2014,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,1112,N
HX340442,7/6/2014,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),N,N,1811,Y
HX333431,7/6/2014,OTHER OFFENSE,OTHER WEAPONS VIOLATION,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,N,N,1652,Y
HX392310,7/6/2014,THEFT,RETAIL THEFT,DEPARTMENT STORE,N,N,1834,Y
HX333716,7/6/2014,ASSAULT,SIMPLE,RESIDENCE,N,Y,732,Y
HX333489,7/6/2014,NARCOTICS,POSS: HEROIN(WHITE),STREET,Y,N,1113,N
HX333601,7/6/2014,THEFT,FROM BUILDING,RESTAURANT,N,N,1812,Y
HX333473,7/6/2014,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,Y,N,731,N
HX333510,7/6/2014,THEFT,RETAIL THEFT,CONVENIENCE STORE,Y,N,1132,N
HX333480,7/6/2014,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,Y,N,421,N
HX333467,7/6/2014,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,Y,N,1524,N
HX397729,7/6/2014,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,APARTMENT,N,N,1922,Y
HX333568,7/6/2014,INTERFERENCE WITH PUBLIC OFFICER,ESCAPE,HOSPITAL BUILDING/GROUNDS,Y,N,133,N
HX333494,7/6/2014,CRIMINAL DAMAGE,TO STATE SUP PROP,CHA APARTMENT,N,Y,533,Y
HX334313,7/6/2014,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,Y,1213,Y
HX336110,7/6/2014,THEFT,$500 AND UNDER,HOTEL/MOTEL,N,N,1833,Y
HX336229,7/6/2014,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE PORCH/HALLWAY,N,N,1633,Y
